epoch,accuracy,loss,val_accuracy,val_loss
0,0.23127830028533936,1.9232697486877441,0.2396795004606247,1.826882243156433
1,0.2705067992210388,1.7677419185638428,0.28531613945961,1.7638710737228394
2,0.30673110485076904,1.7182235717773438,0.30482494831085205,1.7404117584228516
3,0.3380790650844574,1.65963876247406,0.34854555130004883,1.6422979831695557
4,0.3568878471851349,1.6259969472885132,0.3708413243293762,1.6226946115493774
5,0.3698624074459076,1.6013375520706177,0.3123149275779724,1.818007469177246
6,0.38697317242622375,1.559545874595642,0.3962724208831787,1.5776867866516113
7,0.402429461479187,1.526092290878296,0.3783313035964966,1.5439372062683105
8,0.41518634557724,1.5033646821975708,0.40916216373443604,1.5383292436599731
9,0.43099093437194824,1.479250192642212,0.43319979310035706,1.4485279321670532
10,0.43926331400871277,1.4578496217727661,0.43511584401130676,1.4277348518371582
11,0.4423981308937073,1.4419249296188354,0.4633339047431946,1.3877257108688354
12,0.45184603333473206,1.4311771392822266,0.44225743412971497,1.474866271018982
13,0.4548937678337097,1.4174939393997192,0.4622887969017029,1.397780179977417
14,0.4572884142398834,1.4091001749038696,0.4915519952774048,1.3365249633789062
15,0.4581156373023987,1.3998082876205444,0.4845845699310303,1.3227415084838867
16,0.4661703109741211,1.3948185443878174,0.45532137155532837,1.4053786993026733
17,0.4709160625934601,1.3810008764266968,0.4800557494163513,1.365352988243103
18,0.47492164373397827,1.3744068145751953,0.4800557494163513,1.3519366979599
19,0.4736590087413788,1.3747012615203857,0.49695175886154175,1.3261992931365967
20,0.47579240798950195,1.3672834634780884,0.47901061177253723,1.3585561513900757
21,0.48093000054359436,1.3633792400360107,0.491203635931015,1.3371491432189941
22,0.48093000054359436,1.3578159809112549,0.49311965703964233,1.315943717956543
23,0.4815395474433899,1.3609381914138794,0.5075770616531372,1.2926207780838013
24,0.48423895239830017,1.354777455329895,0.5039191842079163,1.280137300491333
25,0.4866335690021515,1.343060851097107,0.5093189477920532,1.2836788892745972
26,0.48780912160873413,1.3417435884475708,0.5185507535934448,1.2620941400527954
27,0.4901602268218994,1.335304617881775,0.5136736035346985,1.2829868793487549
28,0.4906391501426697,1.333627700805664,0.49677756428718567,1.304896593093872
29,0.4874172806739807,1.334373116493225,0.5150670409202576,1.2648200988769531
